llm,answer_correct,n_statements,n_true,truth_rate,n_questions,truth_rate_percent
<<<<<<< HEAD
llama,NO,123,108,0.8780487804878049,26,87.8048780487805
llama,YES,656,618,0.9420731707317073,122,94.20731707317073
qwen,NO,89,67,0.7528089887640449,19,75.28089887640449
qwen,YES,661,561,0.848714069591528,129,84.8714069591528
=======
llama,NO,282,227,0.8049645390070922,37,80.49645390070921
llama,YES,1270,1153,0.9078740157480315,154,90.78740157480316
qwen,NO,190,149,0.7842105263157895,26,78.42105263157895
qwen,YES,1254,1043,0.8317384370015949,165,83.1738437001595
>>>>>>> f1f555a2501892083ed12b2e7dc4e604b3576621
